550.274 22.7498      550.239 23.3003      0.0344268 -0.550208
413.999 549.643      413.584 549.772      0.41354 -0.128341
-139.529 -269.439      -138.617 -268.171      -0.912259 -1.26901
790.718 541.277      790.881 541.007      -0.162065 0.269264
889.814 538.162      889.245 538.599      0.567333 -0.436101
748.305 103.419      748.119 103.387      0.184186 0.0342182
152.599 -539.096      153.246 -537.547      -0.647268 -1.54791
460.839 552.105      460.89 552.132      -0.0506735 -0.0276195
-519.097 805.74      -517.719 805.416      -1.37802 0.32374
-152.542 1058.37      -152.157 1057.4      -0.385249 0.973966
122.633 -273.214      122.492 -271.934      0.14081 -1.27976
358.118 -52.3773      358.24 -51.734      -0.12179 -0.643435
602.979 820.997      602.865 821.1      0.113592 -0.102698
-113.881 1478.02      -113.325 1476.84      -0.555315 1.18299
-29.8789 548.607      -29.4482 548.616      -0.429611 -0.00557972
-64.6674 840.09      -64.465 839.842      -0.202184 0.248333
228.272 592.585      228.28 593.244      -0.00611809 -0.657811
-402.399 2400.54      -401.381 2398.24      -1.01807 2.29992
585.707 502.768      585.217 502.555      0.48993 0.212471
1061.51 377.82      1060.77 378.555      0.747265 -0.734245
553.09 938.034      553.473 938.028      -0.382607 0.00514128
1224.29 1164.77      1223.56 1164.34      0.731086 0.431545
551.983 1634.55      551.885 1633.31      0.0986596 1.23938
1044.31 1273.71      1043.76 1272.9      0.552912 0.810266
1410.34 1010.77      1408.83 1010.3      1.50302 0.474903
880.549 91.663      880.521 92.4272      0.0279505 -0.762789
1587.93 1206.31      1586.59 1205.93      1.33823 0.382668
1302.68 600.372      1301.83 600.461      0.853852 -0.089574
848.537 227.437      848.784 227.51      -0.247646 -0.0720308
1191.73 946.934      1191.14 946.751      0.593522 0.182124
1100.31 223.702      1099.25 224.223      1.05846 -0.521196
1518.45 2656.65      1517.05 2653.61      1.39719 3.03971
1818.86 1490.43      1817.21 1489.12      1.6466 1.31099
1071.36 -37.7686      1070.53 -37.0824      0.83307 -0.6858
1394.39 596.59      1393.73 596.519      0.661958 0.0710102
-39.1222 743.868      -38.1437 744.1      -0.978571 -0.233144
-532.842 1283.47      -531.315 1282.42      -1.52647 1.05466
818.994 168.596      817.658 169.244      1.3339 -0.644086
-110.162 613.901      -109.407 613.584      -0.754226 0.317489
-822.011 408.3      -820.308 408.55      -1.70322 -0.250455
307.994 304.937      308.474 305      -0.479673 -0.0628762
868.82 160.757      867.865 161.238      0.955018 -0.48131
